xpath,area,selected
"//*[@id=""depth1_btn_101000""]",서울,0
"//*[@id=""depth1_btn_102000""]",경기,0
"//*[@id=""depth1_btn_108000""]",인천,0
"//*[@id=""depth1_btn_106000""]",부산,0
"//*[@id=""depth1_btn_104000""]",대구,0
"//*[@id=""depth1_btn_103000""]",광주,0
"//*[@id=""depth1_btn_105000""]",대전,0
"//*[@id=""depth1_btn_107000""]",울산,0
"//*[@id=""depth1_btn_118000""]",세종,0
"//*[@id=""depth1_btn_109000""]",강원,0
"//*[@id=""depth1_btn_110000""]",경남,0
"//*[@id=""depth1_btn_111000""]",경북,0
"//*[@id=""depth1_btn_112000""]",전남,0
"//*[@id=""depth1_btn_113000""]",전북,0
"//*[@id=""depth1_btn_115000""]",충남,0
"//*[@id=""depth1_btn_114000""]",충북,0
"//*[@id=""depth1_btn_116000""]",제주,0
"//*[@id=""depth1_btn_117000""]",전국,0
